rep,learning_rate,steps,classifier,feature_column,train_auc_precision_recall,train_recall,train_average_loss,train_accuracy_baseline,train_accuracy,train_auc,train_loss,train_label/mean,train_precision,train_global_step,train_prediction/mean,test_auc_precision_recall,test_recall,test_average_loss,test_accuracy_baseline,test_accuracy,test_auc,test_loss,test_label/mean,test_precision,test_global_step,test_prediction/mean
3,0.01,500,"dnn classifier with [4, 4] hidden_units",10 dim embedding column,0.0681013,0.0,0.29790547,0.944,0.944,0.5669643,0.29790547,0.056,0.0,500,0.19763063,0.14069995,0.0,0.34998405,0.906,0.906,0.59407735,0.34998405,0.094,0.0,500,0.19903372
3,0.01,500,"dnn classifier with [4, 4] hidden_units",100 dim embedding column,0.06426324,0.0,0.26961485,0.954,0.954,0.6527664,0.26961485,0.046,0.0,500,0.18469918,0.10367465,0.0,0.29196936,0.936,0.936,0.68012154,0.29196936,0.064,0.0,500,0.18240766
3,0.01,500,"dnn classifier with [10, 10] hidden_units",indicator column,0.19996199,0.03448276,0.21832535,0.94200003,0.938,0.7400615,0.21832535,0.058,0.25,500,0.030634895,0.27716523,0.0,0.34124073,0.924,0.924,0.55183417,0.34124073,0.076,0.0,500,0.02107217
3,0.01,500,"dnn classifier with [10, 10] hidden_units",2 dim embedding column,0.03880392,0.0,0.22886172,0.954,0.954,0.47862548,0.22886172,0.046,0.0,500,0.13271135,0.068484604,0.0,0.30084527,0.916,0.916,0.46535146,0.30084527,0.084,0.0,500,0.13258696
3,0.01,500,"dnn classifier with [10, 10] hidden_units",4 dim embedding column,0.08647376,0.0,0.25234392,0.93,0.93,0.5870968,0.25234392,0.07,0.0,500,0.089970894,0.14056195,0.0,0.26703075,0.922,0.922,0.5915235,0.26703075,0.078,0.0,500,0.08481108
3,0.01,500,"dnn classifier with [10, 10] hidden_units",10 dim embedding column,0.09112607,0.0,0.28033343,0.924,0.924,0.5565334,0.28033343,0.076,0.0,500,0.123238176,0.17614721,0.0,0.29425365,0.912,0.912,0.62858856,0.29425365,0.088,0.0,500,0.12440759
3,0.01,500,"dnn classifier with [10, 10] hidden_units",100 dim embedding column,0.11227046,0.0,0.23662551,0.938,0.938,0.6916226,0.23662551,0.062,0.0,500,0.10429924,0.14088546,0.0,0.26267186,0.924,0.924,0.6994475,0.26267186,0.076,0.0,500,0.101597704
3,0.01,500,"dnn classifier with [20, 20] hidden_units",indicator column,0.38287205,0.0,0.28505555,0.934,0.934,0.73613,0.28505555,0.066,0.0,500,0.011513001,0.2971537,0.0,0.28855816,0.934,0.934,0.6882746,0.28855816,0.066,0.0,500,0.011789007
3,0.01,500,"dnn classifier with [20, 20] hidden_units",2 dim embedding column,0.108559616,0.0,0.26364255,0.926,0.926,0.56316036,0.26364255,0.074,0.0,500,0.09888433,0.096126,0.0,0.27016228,0.922,0.922,0.6068191,0.27016228,0.078,0.0,500,0.09780888
3,0.01,500,"dnn classifier with [20, 20] hidden_units",4 dim embedding column,0.09999595,0.0,0.21033196,0.952,0.952,0.69708514,0.21033196,0.048,0.0,500,0.10869245,0.25467867,0.0,0.27510628,0.918,0.918,0.7344439,0.27510628,0.082,0.0,500,0.10550789
3,0.01,500,"dnn classifier with [20, 20] hidden_units",10 dim embedding column,0.052293487,0.0,0.23381893,0.944,0.944,0.47158748,0.23381893,0.056,0.0,500,0.10931207,0.1191442,0.0,0.29174092,0.914,0.914,0.5968399,0.29174092,0.086,0.0,500,0.11005145
3,0.01,500,"dnn classifier with [20, 20] hidden_units",100 dim embedding column,0.062569305,0.0,0.21855828,0.94200003,0.942,0.58767116,0.21855828,0.058,0.0,500,0.0593757,0.13290034,0.0,0.27108246,0.922,0.922,0.6399411,0.27108246,0.078,0.0,500,0.05828137
3,0.01,1000,linear classifier,categorical column with vocabulary list,0.5369566,0.0,0.22544459,0.934,0.934,0.88594997,0.22544459,0.066,0.0,1000,0.016144201,0.66885626,0.0,0.2591519,0.924,0.924,0.90747464,0.2591519,0.076,0.0,1000,0.014422751
3,0.01,1000,"dnn classifier with [4, 4] hidden_units",indicator column,0.42117575,0.0,0.23733445,0.934,0.934,0.7524252,0.23733445,0.066,0.0,1000,0.023296788,0.22352648,0.0,0.35515895,0.922,0.922,0.61253405,0.35515895,0.078,0.0,1000,0.019696597
3,0.01,1000,"dnn classifier with [4, 4] hidden_units",2 dim embedding column,0.07532609,0.0,0.26116523,0.93299997,0.933,0.56902784,0.26116523,0.067,0.0,1000,0.11795981,0.08387026,0.0,0.26141393,0.93299997,0.933,0.516933,0.26141393,0.067,0.0,1000,0.11760048
3,0.01,1000,"dnn classifier with [4, 4] hidden_units",4 dim embedding column,0.06263935,0.0,0.25137025,0.934,0.934,0.51614106,0.25137025,0.066,0.0,1000,0.09952571,0.063650206,0.0,0.28201506,0.923,0.923,0.44330317,0.28201506,0.077,0.0,1000,0.09762134
3,0.01,1000,"dnn classifier with [4, 4] hidden_units",10 dim embedding column,0.07869475,0.0,0.23357345,0.94,0.94,0.59668446,0.23357345,0.06,0.0,1000,0.10258872,0.10165664,0.0,0.27001593,0.922,0.922,0.6031411,0.27001593,0.078,0.0,1000,0.101704635
3,0.01,1000,"dnn classifier with [4, 4] hidden_units",100 dim embedding column,0.11760502,0.0,0.22766611,0.938,0.938,0.69162256,0.22766611,0.062,0.0,1000,0.087088995,0.19273806,0.0,0.25521243,0.923,0.923,0.75483674,0.25521243,0.077,0.0,1000,0.0853694
3,0.01,1000,"dnn classifier with [10, 10] hidden_units",indicator column,0.5843985,0.0,0.18772101,0.938,0.938,0.8833655,0.18772101,0.062,0.0,1000,0.020345096,0.32770386,0.0,0.27382165,0.923,0.923,0.77771527,0.27382165,0.077,0.0,1000,0.019133084
3,0.01,1000,"dnn classifier with [10, 10] hidden_units",2 dim embedding column,0.06197078,0.0,0.23927137,0.938,0.938,0.5377003,0.23927137,0.062,0.0,1000,0.084793836,0.07066363,0.0,0.2834562,0.922,0.922,0.46469492,0.2834562,0.078,0.0,1000,0.08340247
